gene1,gene2,weight,zscore,pvalue,qvalue,lfdr,prob
ABBFA_000127,uraH,0.27698690266918635,0.27698690266918635,0.0,0.0,0.0,1.0
ABBFA_000128,ABBFA_000465,0.10295141577300365,0.10295141577300365,0.0,0.0,1.724108765109736e-236,1.0
ABBFA_000128,ABBFA_000623,0.10988425899264982,0.10988425899264982,0.0,0.0,6.300565100848518e-269,1.0
ABBFA_000129,ABBFA_000131,0.13489290897404957,0.13489290897404957,0.0,0.0,0.0,1.0
ABBFA_000129,ABBFA_000132,0.15849985211940912,0.15849985211940912,0.0,0.0,0.0,1.0
ABBFA_000129,allC,0.10885615504434856,0.10885615504434856,0.0,0.0,5.508629160913156e-264,1.0
ABBFA_000129,uraH,0.27346324297696917,0.27346324297696917,0.0,0.0,0.0,1.0
ABBFA_000131,ABBFA_000720,0.14655601550270603,0.14655601550270603,0.0,0.0,0.0,1.0
ABBFA_000131,uraH,0.11500178717169923,0.11500178717169923,0.0,0.0,3.317561806869322e-294,1.0
ABBFA_000132,allC,0.12385048003093706,0.12385048003093706,0.0,0.0,0.0,1.0
ABBFA_000138,ABBFA_000369,0.10256862304597275,0.10256862304597275,0.0,0.0,9.267221099668012e-235,1.0
ABBFA_000138,ABBFA_000705,0.10810619899322087,0.10810619899322087,0.0,0.0,2.0744561294748097e-260,1.0
ABBFA_000139,ABBFA_000173,0.10793100546771958,0.10793100546771958,0.0,0.0,1.4084295900644448e-259,1.0
ABBFA_000139,ABBFA_000413,0.11058874565934919,0.11058874565934919,0.0,0.0,2.436621245572264e-272,1.0
ABBFA_000142,ABBFA_000336,0.19811314043929737,0.19811314043929737,0.0,0.0,0.0,1.0
ABBFA_000142,ABBFA_000667,0.27474582943097314,0.27474582943097314,0.0,0.0,0.0,1.0
ABBFA_000153,ABBFA_000201,0.11322650384004586,0.11322650384004586,0.0,0.0,2.62086836502114e-285,1.0
ABBFA_000157,ABBFA_000274,0.15444817547676112,0.15444817547676112,0.0,0.0,0.0,1.0
ABBFA_000157,ABBFA_000365,0.14849789436486613,0.14849789436486613,0.0,0.0,0.0,1.0
ABBFA_000157,hutU,0.1069100021640082,0.1069100021640082,0.0,0.0,9.334545673733886e-255,1.0
ABBFA_000158,ABBFA_000266,-0.10499107671829998,-0.10499107671829998,0.0,0.0,1.0170828597006141e-230,1.0
ABBFA_000158,ABBFA_000336,0.20628025256911345,0.20628025256911345,0.0,0.0,0.0,1.0
ABBFA_000158,ABBFA_000667,0.3621970328581443,0.3621970328581443,0.0,0.0,0.0,1.0
ABBFA_000159,ABBFA_000755,0.11125346692292974,0.11125346692292974,0.0,0.0,1.40321185450308e-275,1.0
ABBFA_000160,ABBFA_000486,0.11939881474050971,0.11939881474050971,0.0,0.0,8.2376494e-317,1.0
ABBFA_000160,ABBFA_000532,0.11273498486806063,0.11273498486806063,0.0,0.0,7.207684024174528e-283,1.0
ABBFA_000160,ABBFA_000710,0.18304622505343623,0.18304622505343623,0.0,0.0,0.0,1.0
ABBFA_000164,ABBFA_000367,0.22196998311606347,0.22196998311606347,0.0,0.0,0.0,1.0
ABBFA_000164,ABBFA_000494,0.1017145548104938,0.1017145548104938,0.0,0.0,6.380190007922412e-231,1.0
ABBFA_000164,ABBFA_000618,0.20642714450808158,0.20642714450808158,0.0,0.0,0.0,1.0
ABBFA_000164,ABBFA_000636,0.12250661772226,0.12250661772226,0.0,0.0,0.0,1.0
ABBFA_000166,ABBFA_000167,0.11262204615818756,0.11262204615818756,0.0,0.0,2.6110762519400178e-282,1.0
ABBFA_000175,ABBFA_000176,0.6528131462178756,0.6528131462178756,0.0,0.0,0.0,1.0
ABBFA_000175,ABBFA_000310,0.1773729974016139,0.1773729974016139,0.0,0.0,0.0,1.0
ABBFA_000175,ABBFA_000388,0.12042151717890678,0.12042151717890678,0.0,0.0,0.0,1.0
ABBFA_000176,ABBFA_000310,0.2679665570731719,0.2679665570731719,0.0,0.0,0.0,1.0
ABBFA_000178,ABBFA_000180,0.12730851082974853,0.12730851082974853,0.0,0.0,0.0,1.0
ABBFA_000178,ABBFA_000181,0.12285647581913427,0.12285647581913427,0.0,0.0,0.0,1.0
ABBFA_000178,ABBFA_000362,0.17617329640460197,0.17617329640460197,0.0,0.0,0.0,1.0
ABBFA_000178,ABBFA_000375,-0.11607215703641707,-0.11607215703641707,0.0,0.0,6.047804115863553e-283,1.0
ABBFA_000178,ABBFA_000474,0.13603746817036413,0.13603746817036413,0.0,0.0,0.0,1.0
ABBFA_000178,ABBFA_003540,0.12261825741956667,0.12261825741956667,0.0,0.0,0.0,1.0
ABBFA_000178,acsA,0.17001427651549952,0.17001427651549952,0.0,0.0,0.0,1.0
ABBFA_000178,hutU,0.12516471599349943,0.12516471599349943,0.0,0.0,0.0,1.0
ABBFA_000180,ABBFA_000181,0.6365852370559222,0.6365852370559222,0.0,0.0,0.0,1.0
ABBFA_000180,ABBFA_000284,0.1024282396715909,0.1024282396715909,0.0,0.0,3.9806313189285094e-234,1.0
ABBFA_000180,acsA,0.23804688070146537,0.23804688070146537,0.0,0.0,0.0,1.0
ABBFA_000181,acsA,0.28003163701851386,0.28003163701851386,0.0,0.0,0.0,1.0
ABBFA_000182,ABBFA_000618,0.12190485108667015,0.12190485108667015,0.0,0.0,0.0,1.0
ABBFA_000183,ABBFA_000266,0.18067120233753226,0.18067120233753226,0.0,0.0,0.0,1.0
ABBFA_000184,ABBFA_000338,0.20714698920242175,0.20714698920242175,0.0,0.0,0.0,1.0
ABBFA_000184,ABBFA_000615,0.15615293231491065,0.15615293231491065,0.0,0.0,0.0,1.0
ABBFA_000184,ABBFA_000616,0.18114358554188542,0.18114358554188542,0.0,0.0,0.0,1.0
ABBFA_000187,ABBFA_000188,0.5609529127042437,0.5609529127042437,0.0,0.0,0.0,1.0
ABBFA_000187,ABBFA_000252,0.15952407928531942,0.15952407928531942,0.0,0.0,0.0,1.0
